donor	donor_real_conc	run	donor_conc
AMX	0.5	52	1
AMX	0.25	52	2
AMX	0.125	52	3
AMX	0.0625	67	1
AMX	0.03125	67	2
AMX	0.015625	67	3
AMX	0.02	76	1
AMX	0.01	76	2
AMX	0.005	76	3
AMX	0.02	79	1
AMX	0.01	79	2
AMX	0.005	79	3
AMX	0.02	84	1
AMX	0.01	84	2
AMX	0.005	84	3
AMXCLA	0.02	84	1
AMXCLA	0.01	84	2
AMXCLA	0.005	84	3
ASA	1000	52	1
ASA	500	52	2
ASA	250	52	3
ASA	1000	67	1
ASA	500	67	2
ASA	250	67	3
AUR	0.25	52	1
AUR	0.125	52	2
AUR	0.0625	52	3
AUR	0.0625	67	1
AUR	0.03125	67	2
AUR	0.015625	67	3
AZM	1	52	1
AZM	0.5	52	2
AZM	0.25	52	3
AZM	1	67	1
AZM	0.5	67	2
AZM	0.25	67	3
BAC	150	52	1
BAC	75	52	2
BAC	37.5	52	3
BAC	150	67	1
BAC	75	67	2
BAC	37.5	67	3
BZK	2.5	52	1
BZK	1.25	52	2
BZK	0.625	52	3
CA	50	54	1
CA	25	54	2
CA	12.5	54	3
CA	50	85	1
CA	25	85	2
CA	12.5	85	3
CCCP	2.3	53	1
CCCP	1.15	53	2
CCCP	0.575	53	3
CCCP	0.575	68	1
CCCP	0.2875	68	2
CCCP	0.14375	68	3
CHL	2	51	1
CHL	1	51	2
CHL	0.5	51	3
CIP	0.039	53	1
CIP	0.0195	53	2
CIP	0.00975	53	3
CLA	6	62	1
CLA	3	62	2
CLA	1.5	62	3
CLA	6	84	1
CLA	3	84	2
CLA	1.5	84	3
CLI	0.25	53	1
CLI	0.125	53	2
CLI	0.0625	53	3
CLR	0.234	53	1
CLR	0.117	53	2
CLR	0.0585	53	3
CLR	0.0585	68	1
CLR	0.02925	68	2
CLR	0.014625	68	3
CTC	0.19	53	1
CTC	0.095	53	2
CTC	0.0475	53	3
CTX	2	54	1
CTX	1	54	2
CTX	0.5	54	3
CTX	0.031	68	1
CTX	0.0155	68	2
CTX	0.00775	68	3
CXA	0.195	56	1
CXA	0.0975	56	2
CXA	0.04875	56	3
DAP	0.5	54	1
DAP	0.25	54	2
DAP	0.125	54	3
DAP	1	85	1
DAP	0.5	85	2
DAP	0.25	85	3
DCS	0.5	54	1
DCS	0.25	54	2
DCS	0.125	54	3
DOX	0.08	55	1
DOX	0.04	55	2
DOX	0.02	55	3
DXR	2.5	54	1
DXR	1.25	54	2
DXR	0.625	54	3
EGCG	25	55	1
EGCG	12.5	55	2
EGCG	6.25	55	3
ERI	0.25	51	1
ERI	0.125	51	2
ERI	0.0625	51	3
ERI	0.031	55	1
ERI	0.0155	55	2
ERI	0.00775	55	3
FEP	0.25	57	1
FEP	0.125	57	2
FEP	0.0625	57	3
FOF	6.248	55	1
FOF	3.124	55	2
FOF	1.562	55	3
FUS	0.25	51	1
FUS	0.125	51	2
FUS	0.0625	51	3
FUS	0.031	55	1
FUS	0.0155	55	2
FUS	0.00775	55	3
GEN	0.25	56	1
GEN	0.125	56	2
GEN	0.0625	56	3
IPM	0.25	56	1
IPM	0.125	56	2
IPM	0.0625	56	3
LCX	0.125	56	1
LCX	0.0625	56	2
LCX	0.03125	56	3
LCX	0.004	68	1
LCX	0.002	68	2
LCX	0.001	68	3
LEX	0.5	55	1
LEX	0.25	55	2
LEX	0.125	55	3
LIN	0.4	56	1
LIN	0.2	56	2
LIN	0.1	56	3
LOP	100	53	1
LOP	50	53	2
LOP	25	53	3
LZD	0.5	56	1
LZD	0.25	56	2
LZD	0.125	56	3
LZD	0.25	68	1
LZD	0.125	68	2
LZD	0.0625	68	3
MCZ	5	57	1
MCZ	2.5	57	2
MCZ	1.25	57	3
MCZ	1.25	68	1
MCZ	0.625	68	2
MCZ	0.3125	68	3
MMC	0.125	57	1
MMC	0.0625	57	2
MMC	0.03125	57	3
MTR	2.5	57	1
MTR	1.25	57	2
MTR	0.625	57	3
MUP	0.125	61	1
MUP	0.0625	61	2
MUP	0.03125	61	3
MUP	0.031	85	1
MUP	0.0155	85	2
MUP	0.00775	85	3
MXF	8	57	1
MXF	4	57	2
MXF	2	57	3
MXF	0.125	69	1
MXF	0.0625	69	2
MXF	0.03125	69	3
MXF	0.125	84	1
MXF	0.0625	84	2
MXF	0.03125	84	3
NIT	16	59	1
NIT	8	59	2
NIT	4	59	3
NIT	8	70	1
NIT	4	70	2
NIT	2	70	3
NSN	2	58	1
NSN	1	58	2
NSN	0.5	58	3
NSN	5	70	1
NSN	2.5	70	2
NSN	1.25	70	3
NSN	6.4	84	1
NSN	3.2	84	2
NSN	1.6	84	3
NVB	0.05	60	1
NVB	0.025	60	2
NVB	0.0125	60	3
NVB	0.5	70	1
NVB	0.25	70	2
NVB	0.125	70	3
ORI	0.5	59	1
ORI	0.25	59	2
ORI	0.125	59	3
ORI	0.0625	69	1
ORI	0.03125	69	2
ORI	0.015625	69	3
OXA	0.008	58	1
OXA	0.004	58	2
OXA	0.002	58	3
OXA	0.3	70	1
OXA	0.15	70	2
