donor_real_conc	run	donor	donor_conc
0.25	4	AMX	1
0.25	3	AUR	1
0.5	1	AZM	1
75	4	BAC	1
1.25	2	BZK	1
5	5	CCCP	1
0.5	3	FEP	1
2.5	2	CTX	1
1	1	LEX	1
7.8	6	CER	1
3	9	CHL	1
0.15	7	CIP	1
0.5	2	CLR	1
0.125	6	CLI	1
0.5	5	DAP	1
2.5	9	DXR	1
0.25	7	DOX	1
50	5	EGCG	1
0.5	8	ERI	1
3.124	7	FOF	1
2	1	GEN	1
0.5	7	IPM	1
0.125	6	LCX	1
0.4	2	LIN	1
1	5	LZD	1
100	5	LOP	1
2.5	8	MTR	1
3	9	MCZ	1
0.03	2	MXF	1
6.4	23	NSN	1
8	8	NIT	1
0.05	4	NVB	1
4	3	ORI	1
0.0625	1	OXA	1
5	14	PQ	1
5	6	PLM	1
0.25	3	PRI	1
342	5	PRC	1
1.56	10	PUR	1
5	10	PYO	1
0.031	6	RIF	1
16	9	SPT	1
4	3	STR	1
0.6	14	STZ	1
4	10	SMX	1
0.25	3	TZD	1
0.625	14	TEC	1
0.125	10	TEL	1
10	14	TPH	1
0.156	10	TGC	1
0.062	4	TRI	1
0.5	1	TMP	1
7	24	U1	1
0.75	1	VAN	1
2	50	VIR	1
0.25	12	AMX	1
0.25	16	AUR	1
0.5	19	AZM	1
75	12	BAC	1
1.25	17	BZK	1
2.3	21	CCCP	1
0.5	16	FEP	1
0.312	17	CTX	1
1	19	LEX	1
7.8	21	CER	1
3	13	CHL	1
0.15	20	CIP	1
0.234	17	CLR	1
0.125	21	CLI	1
0.5	21	DAP	1
2.5	13	DXR	1
0.031	20	DOX	1
50	25	EGCG	1
0.5	22	ERI	1
3.124	20	FOF	1
2	6	GEN	1
0.5	8	IPM	1
0.125	22	LCX	1
0.4	17	LIN	1
0.5	22	LZD	1
100	22	LOP	1
2.5	23	MTR	1
3	13	MCZ	1
0.03	17	MXF	1
0.05	23	NIT	1
0.05	12	NVB	1
4	16	ORI	1
0.0625	19	OXA	1
5	24	PLM	1
0.25	16	PRI	1
1.56	23	PUR	1
5	23	PYO	1
0.031	24	RIF	1
16	13	SPT	1
4	16	STR	1
4	24	SMX	1
0.25	16	TZD	1
2.48	50	TEC	1
0.125	24	TEL	1
0.156	24	TGC	1
0.062	12	TRI	1
0.5	19	TMP	1
7	24	U1	1
0.75	19	VAN	1
0.25	25	AMX	1
0.28	64	CCCP	1
0.234	21	CLR	1
0.125	64	ERI	1
2	19	GEN	1
0.016	20	IPM	1
0.03	25	MXF	1
64	65	SPT	1
8	50	SMX	1
0.25	65	AMX	1
0.125	4	AMX	2
0.125	3	AUR	2
0.25	1	AZM	2
37.5	4	BAC	2
0.625	2	BZK	2
2.5	5	CCCP	2
0.25	3	FEP	2
1.25	2	CTX	2
0.5	1	LEX	2
3.9	6	CER	2
1.5	9	CHL	2
0.075	7	CIP	2
0.25	2	CLR	2
0.0625	6	CLI	2
0.25	5	DAP	2
1.25	9	DXR	2
0.125	7	DOX	2
25	5	EGCG	2
0.25	8	ERI	2
1.562	7	FOF	2
1	1	GEN	2
0.25	7	IPM	2
0.0625	6	LCX	2
0.2	2	LIN	2
0.5	5	LZD	2
50	5	LOP	2
1.25	8	MTR	2
1.5	9	MCZ	2
0.015	2	MXF	2
3.2	23	NSN	2
4	8	NIT	2
0.025	4	NVB	2
2	3	ORI	2
0.03125	1	OXA	2
2.5	14	PQ	2
2.5	6	PLM	2
0.125	3	PRI	2
171	5	PRC	2
0.78	10	PUR	2
2.5	10	PYO	2
0.0155	6	RIF	2
8	9	SPT	2
2	3	STR	2
0.3	14	STZ	2
2	10	SMX	2
0.125	3	TZD	2
0.3125	14	TEC	2
0.0625	10	TEL	2
5	14	TPH	2
0.078	10	TGC	2
0.031	4	TRI	2
0.25	1	TMP	2
3.5	24	U1	2
0.375	1	VAN	2
1	50	VIR	2
0.125	12	AMX	2
0.125	16	AUR	2
0.25	19	AZM	2
37.5	12	BAC	2
0.625	17	BZK	2
1.15	21	CCCP	2
0.25	16	FEP	2
0.156	17	CTX	2
0.5	19	LEX	2
3.9	21	CER	2
1.5	13	CHL	2
0.075	20	CIP	2
0.117	17	CLR	2
0.0625	21	CLI	2
0.25	21	DAP	2
1.25	13	DXR	2
0.0155	20	DOX	2
25	25	EGCG	2
0.25	22	ERI	2
1.562	20	FOF	2
1	6	GEN	2
0.25	8	IPM	2
0.0625	22	LCX	2
0.2	17	LIN	2
0.25	22	LZD	2
50	22	LOP	2
1.25	23	MTR	2
1.5	13	MCZ	2
0.015	17	MXF	2
0.025	23	NIT	2
0.025	12	NVB	2
2	16	ORI	2
0.03125	19	OXA	2
2.5	24	PLM	2
0.125	16	PRI	2
0.78	23	PUR	2
2.5	23	PYO	2
0.0155	24	RIF	2
8	13	SPT	2
2	16	STR	2
2	24	SMX	2
0.125	16	TZD	2
1.24	50	TEC	2
0.0625	24	TEL	2
0.078	24	TGC	2
0.031	12	TRI	2
0.25	19	TMP	2
3.5	24	U1	2
0.375	19	VAN	2
0.125	25	AMX	2
0.14	64	CCCP	2
0.117	21	CLR	2
0.0625	64	ERI	2
1	19	GEN	2
0.008	20	IPM	2
0.015	25	MXF	2
32	65	SPT	2
4	50	SMX	2
0.125	65	AMX	2
0.0625	4	AMX	3
0.0625	3	AUR	3
0.125	1	AZM	3
18.75	4	BAC	3
0.3125	2	BZK	3
1.25	5	CCCP	3
0.125	3	FEP	3
0.625	2	CTX	3
0.25	1	LEX	3
1.95	6	CER	3
0.75	9	CHL	3
0.0375	7	CIP	3
0.125	2	CLR	3
0.03125	6	CLI	3
0.125	5	DAP	3
0.625	9	DXR	3
0.0625	7	DOX	3
12.5	5	EGCG	3
0.125	8	ERI	3
0.781	7	FOF	3
0.5	1	GEN	3
0.125	7	IPM	3
0.03125	6	LCX	3
0.1	2	LIN	3
0.25	5	LZD	3
25	5	LOP	3
0.625	8	MTR	3
0.75	9	MCZ	3
0.0075	2	MXF	3
