Well_id	3847WP_id	Well	Drug	Conc_flag	Concentration	Replicate	Full name	Well_letter	Well_number	quadrant id
P1_A1	P1	A1	ASA	1	1000	1	ASA_1_1000	A	1	P1_Q1
P1_A3	P1	A3	ASA	2	500	1	ASA_2_500	A	3	P1_Q1
P1_A5	P1	A5	ASA	3	250	1	ASA_3_250	A	5	P1_Q1
P1_A7	P1	A7	BZK	1	1.25	2	BZK_1_1.25	A	7	P1_Q1
P1_A9	P1	A9	BZK	2	0.625	2	BZK_2_0.625	A	9	P1_Q1
P1_A11	P1	A11	BZK	3	0.3125	2	BZK_3_0.3125	A	11	P1_Q1
P1_A13	P1	A13	FEP	1	0.5	1	FEP_1_0.5	A	13	P1_Q1
P1_A15	P1	A15	FEP	2	0.25	1	FEP_2_0.25	A	15	P1_Q1
P1_A17	P1	A17	FEP	3	0.125	1	FEP_3_0.125	A	17	P1_Q1
P1_A19	P1	A19	CLR	1	0.234	2	CLR_1_0.234	A	19	P1_Q1
P1_A21	P1	A21	CLR	2	0.117	2	CLR_2_0.117	A	21	P1_Q1
P1_A23	P1	A23	CLR	3	0.0585	2	CLR_3_0.0585	A	23	P1_Q1
P1_C1	P1	C1	ADEP	1	1	1	ADEP_1_1	C	1	P1_Q1
P1_C3	P1	C3	ADEP	2	0.5	1	ADEP_2_0.5	C	3	P1_Q1
P1_C5	P1	C5	ADEP	3	0.25	1	ADEP_3_0.25	C	5	P1_Q1
P1_C7	P1	C7	CCCP	1	2.3	2	CCCP_1_2.3	C	7	P1_Q1
P1_C9	P1	C9	CCCP	2	1.15	2	CCCP_2_1.15	C	9	P1_Q1
P1_C11	P1	C11	CCCP	3	0.575	2	CCCP_3_0.575	C	11	P1_Q1
P1_C13	P1	C13	CTX	1	0.312	1	CTX_1_0.312	C	13	P1_Q1
P1_C15	P1	C15	CTX	2	0.156	1	CTX_2_0.156	C	15	P1_Q1
P1_C17	P1	C17	CTX	3	0.078	1	CTX_3_0.078	C	17	P1_Q1
P1_C19	P1	C19	CLI	1	0.125	2	CLI_1_0.125	C	19	P1_Q1
P1_C21	P1	C21	CLI	2	0.0625	2	CLI_2_0.0625	C	21	P1_Q1
P1_C23	P1	C23	CLI	3	0.03125	2	CLI_3_0.03125	C	23	P1_Q1
P1_E1	P1	E1	AMX	1	0.25	1	AMX_1_0.25	E	1	P1_Q1
P1_E3	P1	E3	AMX	2	0.125	1	AMX_2_0.125	E	3	P1_Q1
P1_E5	P1	E5	AMX	3	0.0625	1	AMX_3_0.0625	E	5	P1_Q1
P1_E7	P1	E7	ASA	1	1000	2	ASA_1_1000	E	7	P1_Q1
P1_E9	P1	E9	ASA	2	500	2	ASA_2_500	E	9	P1_Q1
P1_E11	P1	E11	ASA	3	250	2	ASA_3_250	E	11	P1_Q1
P1_E13	P1	E13	LEX	1	2	1	LEX_1_2	E	13	P1_Q1
P1_E15	P1	E15	LEX	2	1	1	LEX_2_1	E	15	P1_Q1
P1_E17	P1	E17	LEX	3	0.5	1	LEX_3_0.5	E	17	P1_Q1
P1_E19	P1	E19	FEP	1	0.5	2	FEP_1_0.5	E	19	P1_Q1
P1_E21	P1	E21	FEP	2	0.25	2	FEP_2_0.25	E	21	P1_Q1
P1_E23	P1	E23	FEP	3	0.125	2	FEP_3_0.125	E	23	P1_Q1
P1_G1	P1	G1	AUR	1	0.25	1	AUR_1_0.25	G	1	P1_Q1
P1_G3	P1	G3	AUR	2	0.125	1	AUR_2_0.125	G	3	P1_Q1
P1_G5	P1	G5	AUR	3	0.0625	1	AUR_3_0.0625	G	5	P1_Q1
P1_G7	P1	G7	ADEP	1	1	2	ADEP_1_1	G	7	P1_Q1
P1_G9	P1	G9	ADEP	2	0.5	2	ADEP_2_0.5	G	9	P1_Q1
P1_G11	P1	G11	ADEP	3	0.25	2	ADEP_3_0.25	G	11	P1_Q1
P1_G13	P1	G13	CER	1	7.8	1	CER_1_7.8	G	13	P1_Q1
P1_G15	P1	G15	CER	2	3.9	1	CER_2_3.9	G	15	P1_Q1
P1_G17	P1	G17	CER	3	1.95	1	CER_3_1.95	G	17	P1_Q1
