donor_real_conc	run	donor	donor_conc
0.8	73	5FU	1
0.4	73	5FU	2
0.2	73	5FU	3
0.8	121	5FU	1
0.4	121	5FU	2
0.2	121	5FU	3
1	48	ADEP	1
0.5	48	ADEP	2
0.25	48	ADEP	3
0.25	49	ADEP	1
0.125	49	ADEP	2
0.0625	49	ADEP	3
8	82	ALF	1
4	82	ALF	2
2	82	ALF	3
35	87	ALL	1
17.5	87	ALL	2
8.75	87	ALL	3
0.5	30	AMX	1
0.25	30	AMX	2
0.125	30	AMX	3
0.25	35	AMX	1
0.125	35	AMX	2
0.0625	35	AMX	3
0.25	66	AMX	1
0.125	66	AMX	2
0.0625	66	AMX	3
0.125	66	AMXCLA	1
0.0625	66	AMXCLA	2
0.03125	66	AMXCLA	3
1000	32	ASA	1
500	32	ASA	2
250	32	ASA	3
1000	36	ASA	1
500	36	ASA	2
250	36	ASA	3
20	74	ATO	1
10	74	ATO	2
5	74	ATO	3
0.5	32	AUR	1
0.25	32	AUR	2
0.125	32	AUR	3
0.125	36	AUR	1
0.0625	36	AUR	2
0.03125	36	AUR	3
0.25	63	AUR	1
0.125	63	AUR	2
0.0625	63	AUR	3
0.5	31	AZM	1
0.25	31	AZM	2
0.125	31	AZM	3
0.5	38	AZM	1
0.25	38	AZM	2
0.125	38	AZM	3
0.5	47	AZM	1
0.25	47	AZM	2
0.125	47	AZM	3
0.5	48	AZM	1
0.25	48	AZM	2
0.125	48	AZM	3
75	30	BAC	1
37.5	30	BAC	2
18.75	30	BAC	3
37.5	35	BAC	1
18.75	35	BAC	2
9.375	35	BAC	3
8	71	BBM	1
4	71	BBM	2
2	71	BBM	3
1	82	BBM	1
0.5	82	BBM	2
0.25	82	BBM	3
1.25	33	BZK	1
0.625	33	BZK	2
0.3125	33	BZK	3
1.25	40	BZK	1
0.625	40	BZK	2
0.3125	40	BZK	3
50	48	CA	1
25	48	CA	2
12.5	48	CA	3
80	88	CAF	1
40	88	CAF	2
20	88	CAF	3
5	28	CCCP	1
2.5	28	CCCP	2
1.25	28	CCCP	3
2.3	29	CCCP	1
1.15	29	CCCP	2
0.575	29	CCCP	3
0.28	63	CCCP	1
0.14	63	CCCP	2
0.07	63	CCCP	3
8	80	CEL	1
4	80	CEL	2
2	80	CEL	3
7.8	34	CER	1
3.9	34	CER	2
1.95	34	CER	3
7.8	40	CER	1
3.9	40	CER	2
1.95	40	CER	3
3	26	CHL	1
1.5	26	CHL	2
0.75	26	CHL	3
3	27	CHL	1
1.5	27	CHL	2
0.75	27	CHL	3
0.05	87	CIL	1
0.025	87	CIL	2
0.0125	87	CIL	3
0.312	32	CIP	1
0.156	32	CIP	2
0.078	32	CIP	3
0.312	36	CIP	1
0.156	36	CIP	2
0.078	36	CIP	3
0.125	66	CLA	1
0.0625	66	CLA	2
0.03125	66	CLA	3
0.125	33	CLI	1
0.0625	33	CLI	2
0.03125	33	CLI	3
0.125	41	CLI	1
0.0625	41	CLI	2
0.03125	41	CLI	3
16	89	CLM	1
8	89	CLM	2
4	89	CLM	3
0.02	82	CLO	1
0.01	82	CLO	2
0.005	82	CLO	3
0.234	28	CLR	1
0.117	28	CLR	2
0.0585	28	CLR	3
0.234	29	CLR	1
0.117	29	CLR	2
0.0585	29	CLR	3
0.7	87	CPR	1
0.35	87	CPR	2
0.175	87	CPR	3
0.048	32	CTC	1
0.024	32	CTC	2
0.012	32	CTC	3
0.024	36	CTC	1
0.012	36	CTC	2
0.006	36	CTC	3
0.156	28	CTX	1
0.078	28	CTX	2
0.039	28	CTX	3
0.312	29	CTX	1
0.156	29	CTX	2
0.078	29	CTX	3
0.195	63	CXA	1
0.0975	63	CXA	2
0.04875	63	CXA	3
2	38	DAP	1
1	38	DAP	2
0.5	38	DAP	3
2	41	DAP	1
1	41	DAP	2
0.5	41	DAP	3
2	48	DAP	1
1	48	DAP	2
0.5	48	DAP	3
2	41	DAPC	1
1	41	DAPC	2
0.5	41	DAPC	3
2	48	DAPC	1
1	48	DAPC	2
0.5	48	DAPC	3
10	81	DIA	1
5	81	DIA	2
2.5	81	DIA	3
1.25	82	DIA	1
0.625	82	DIA	2
0.3125	82	DIA	3
1	77	DBP	1
0.5	77	DBP	2
0.25	77	DBP	3
1.5	30	DCS	1
0.75	30	DCS	2
0.375	30	DCS	3
1.5	35	DCS	1
0.75	35	DCS	2
0.375	35	DCS	3
50	71	DFL	1
25	71	DFL	2
12.5	71	DFL	3
0.0005	81	DIE	1
0.00025	81	DIE	2
0.000125	81	DIE	3
2	77	DKR	1
1	77	DKR	2
0.5	77	DKR	3
0.031	31	DOX	1
0.0155	31	DOX	2
0.00775	31	DOX	3
0.031	33	DOX	1
0.0155	33	DOX	2
0.00775	33	DOX	3
0.0155	47	DOX	1
0.00775	47	DOX	2
0.003875	47	DOX	3
2.5	33	DXR	1
1.25	33	DXR	2
0.625	33	DXR	3
2.5	41	DXR	1
1.25	41	DXR	2
0.625	41	DXR	3
50	33	EGCG	1
25	33	EGCG	2
12.5	33	EGCG	3
50	41	EGCG	1
25	41	EGCG	2
12.5	41	EGCG	3
7	80	ENT	1
3.5	80	ENT	2
1.75	80	ENT	3
0.5	26	ERI	1
0.25	26	ERI	2
0.125	26	ERI	3
0.5	27	ERI	1
0.25	27	ERI	2
0.125	27	ERI	3
0.125	46	ERI	1
0.0625	46	ERI	2
0.03125	46	ERI	3
0.004	80	EST	1
0.002	80	EST	2
0.001	80	EST	3
2	72	FEL	1
1	72	FEL	2
0.5	72	FEL	3
0.5	33	FEP	1
0.25	33	FEP	2
0.125	33	FEP	3
0.5	41	FEP	1
0.25	41	FEP	2
0.125	41	FEP	3
3.124	31	FOF	1
1.562	31	FOF	2
0.781	31	FOF	3
3.124	38	FOF	1
1.562	38	FOF	2
0.781	38	FOF	3
3.124	47	FOF	1
1.562	47	FOF	2
0.781	47	FOF	3
3.124	48	FOF	1
1.562	48	FOF	2
0.781	48	FOF	3
0.784	26	FUS	1
0.392	26	FUS	2
0.196	26	FUS	3
0.784	27	FUS	1
0.392	27	FUS	2
0.196	27	FUS	3
0.095	46	FUS	1
0.0475	46	FUS	2
0.02375	46	FUS	3
0.019	49	FUS	1
0.0095	49	FUS	2
0.00475	49	FUS	3
5.5556	82	GEF	1
2.7778	82	GEF	2
1.3889	82	GEF	3
4	31	GEN	1
2	31	GEN	2
1	31	GEN	3
4	38	GEN	1
2	38	GEN	2
1	38	GEN	3
4	47	GEN	1
2	47	GEN	2
1	47	GEN	3
5	87	GLY	1
2.5	87	GLY	2
1.25	87	GLY	3
8	78	HEX	1
4	78	HEX	2
2	78	HEX	3
1	82	HEX	1
0.5	82	HEX	2
0.25	82	HEX	3
100	89	IBU	1
50	89	IBU	2
25	89	IBU	3
100	120	IBU	1
50	120	IBU	2
25	120	IBU	3
0.25	28	IPM	1
0.125	28	IPM	2
0.0625	28	IPM	3
0.016	29	IPM	1
0.008	29	IPM	2
0.004	29	IPM	3
0.016	46	IPM	1
0.008	46	IPM	2
0.004	46	IPM	3
0.25	34	LCX	1
0.125	34	LCX	2
0.0625	34	LCX	3
0.25	40	LCX	1
0.125	40	LCX	2
0.0625	40	LCX	3
2	32	LEX	1
1	32	LEX	2
0.5	32	LEX	3
2	36	LEX	1
1	36	LEX	2
0.5	36	LEX	3
0.4	39	LIN	1
0.2	39	LIN	2
0.1	39	LIN	3
0.4	40	LIN	1
0.2	40	LIN	2
0.1	40	LIN	3
100	34	LOP	1
50	34	LOP	2
25	34	LOP	3
100	40	LOP	1
50	40	LOP	2
25	40	LOP	3
15	78	LOR	1
7.5	78	LOR	2
3.75	78	LOR	3
15	78	LOS	1
7.5	78	LOS	2
3.75	78	LOS	3
15	78	LOS	1
7.5	78	LOS	2
3.75	78	LOS	3
0.9	72	LOX	1
0.45	72	LOX	2
0.225	72	LOX	3
0.9	121	LOX	1
0.45	121	LOX	2
0.225	121	LOX	3
1	28	LZD	1
0.5	28	LZD	2
0.25	28	LZD	3
0.5	29	LZD	1
0.25	29	LZD	2
0.125	29	LZD	3
0.5	86	MEC	1
0.25	86	MEC	2
0.125	86	MEC	3
5	34	MCZ	1
2.5	34	MCZ	2
1.25	34	MCZ	3
5	37	MCZ	1
2.5	37	MCZ	2
1.25	37	MCZ	3
4	86	MTF	1
2	86	MTF	2
1	86	MTF	3
0.0625	37	MMC	1
0.03125	37	MMC	2
0.01563	37	MMC	3
0.0625	39	MMC	1
0.03125	39	MMC	2
0.01563	39	MMC	3
1	87	MON	1
0.5	87	MON	2
0.25	87	MON	3
18	87	MPD	1
9	87	MPD	2
4.5	87	MPD	3
6	89	MSM	1
3	89	MSM	2
1.5	89	MSM	3
2.5	28	MTR	1
1.25	28	MTR	2
0.625	28	MTR	3
2.5	29	MTR	1
1.25	29	MTR	2
0.625	29	MTR	3
2.5	34	MTR	1
1.25	34	MTR	2
0.625	34	MTR	3
20	89	MTX	1
10	89	MTX	2
5	89	MTX	3
0.125	63	MUP	1
0.0625	63	MUP	2
0.03125	63	MUP	3
0.03	37	MXF	1
0.015	37	MXF	2
0.0075	37	MXF	3
0.12	39	MXF	1
0.06	39	MXF	2
0.03	39	MXF	3
80	88	NIC	1
40	88	NIC	2
20	88	NIC	3
8	37	NIT	1
4	37	NIT	2
2	37	NIT	3
4	39	NIT	1
2	39	NIT	2
1	39	NIT	3
6.4	37	NSN	1
3.2	37	NSN	2
1.6	37	NSN	3
6.4	39	NSN	1
3.2	39	NSN	2
1.6	39	NSN	3
0.05	30	NVB	1
0.025	30	NVB	2
0.0125	30	NVB	3
0.05	35	NVB	1
0.025	35	NVB	2
0.0125	35	NVB	3
5	87	OLE	1
2.5	87	OLE	2
1.25	87	OLE	3
8	73	OME	1
4	73	OME	2
2	73	OME	3
8	120	OME	1
4	120	OME	2
2	120	OME	3
4	39	ORI	1
2	39	ORI	2
1	39	ORI	3
2	42	ORI	1
1	42	ORI	2
0.5	42	ORI	3
0.0625	31	OXA	1
0.03125	31	OXA	2
0.015625	31	OXA	3
0.0625	40	OXA	1
0.03125	40	OXA	2
0.015625	40	OXA	3
0.0625	47	OXA	1
0.03125	47	OXA	2
0.015625	47	OXA	3
0.078	37	PEN	1
0.039	37	PEN	2
0.0195	37	PEN	3
0.0195	43	PEN	1
0.00975	43	PEN	2
0.00488	43	PEN	3
2	88	PHE	1
1	88	PHE	2
0.5	88	PHE	3
5	42	PLM	1
2.5	42	PLM	2
1.25	42	PLM	3
5	43	PLM	1
2.5	43	PLM	2
1.25	43	PLM	3
5	42	PQ	1
2.5	42	PQ	2
1.25	42	PQ	3
5	43	PQ	1
2.5	43	PQ	2
1.25	43	PQ	3
342	42	PRC	1
171	42	PRC	2
85.5	42	PRC	3
342	43	PRC	1
171	43	PRC	2
85.5	43	PRC	3
0.25	42	PRI	1
0.125	42	PRI	2
0.0625	42	PRI	3
0.25	43	PRI	1
0.125	43	PRI	2
0.0625	43	PRI	3
0.9	72	PRO	1
0.45	72	PRO	2
0.225	72	PRO	3
1.56	44	PUR	1
0.78	44	PUR	2
