donor_real_conc	run	donor	donor_conc	biol_rep
0.003	93	AMX	1	1
0.0015	93	AMX	2	1
0.00075	93	AMX	3	1
1	93	BAC	1	1
0.5	93	BAC	2	1
0.25	93	BAC	3	1
8	93	DCS	1	1
4	93	DCS	2	1
2	93	DCS	3	1
1.25	93	NVB	1	1
0.625	93	NVB	2	1
0.3125	93	NVB	3	1
8	93	TRI	1	1
4	93	TRI	2	1
2	93	TRI	3	1
0.006	94	AMX	1	2
0.003	94	AMX	2	2
0.0015	94	AMX	3	2
0.125	94	BAC	1	2
0.0625	94	BAC	2	2
0.03125	94	BAC	3	2
4.375	94	DCS	1	2
2.1875	94	DCS	2	2
1.09375	94	DCS	3	2
0.3125	94	NVB	1	2
0.15625	94	NVB	2	2
0.078125	94	NVB	3	2
8	94	TRI	1	2
4	94	TRI	2	2
2	94	TRI	3	2
1.5	96	CHL	1	1
0.75	96	CHL	2	1
0.375	96	CHL	3	1
0.09	96	ERI	1	1
0.045	96	ERI	2	1
0.0225	96	ERI	3	1
1.5	96	FUS	1	1
0.75	96	FUS	2	1
0.375	96	FUS	3	1
0.04	96	TEL	1	1
0.02	96	TEL	2	1
0.01	96	TEL	3	1
2	96	TMP	1	1
1	96	TMP	2	1
0.5	96	TMP	3	1
4	96	CCCP	1	1
2	96	CCCP	2	1
1	96	CCCP	3	1
1.5	97	CHL	1	2
0.75	97	CHL	2	2
0.375	97	CHL	3	2
0.09	97	ERI	1	2
0.045	97	ERI	2	2
0.0225	97	ERI	3	2
1.5	97	FUS	1	2
0.75	97	FUS	2	2
0.375	97	FUS	3	2
0.02	97	TEL	1	2
0.01	97	TEL	2	2
0.005	97	TEL	3	2
2	97	TMP	1	2
1	97	TMP	2	2
0.5	97	TMP	3	2
4	97	CCCP	1	2
2	97	CCCP	2	2
1	97	CCCP	3	2
4	101	AUR	1	1
2	101	AUR	2	1
1	101	AUR	3	1
1	101	AZM	1	1
0.5	101	AZM	2	1
0.25	101	AZM	3	1
2	101	BZK	1	1
1	101	BZK	2	1
0.5	101	BZK	3	1
0.028	101	FEP	1	1
0.014	101	FEP	2	1
0.007	101	FEP	3	1
0.5	101	CIP	1	1
